lane,model,language,condition,n,arg_extraction,decode_seconds_median,delta_nll_per_char,delta_nll_per_char_hi,delta_nll_per_char_lo,delta_nll_per_token,device,e2e_seconds_median,e2e_seconds_p95,fertility_tok_per_char,input_tokens_median,language_compliance,mcnemar_p,model_tokens_per_program,multi_op,n_parameters,nll_per_char,nll_per_token,nll_per_utf8_byte,nll_seconds_total,op_selection,output_tok_per_s_median,output_tokens_median,parse_validity,peak_rss_bytes,peak_vram_allocated_bytes,precision,prefill_seconds_median,rd_ci95_hi,rd_ci95_lo,risk_difference_vs_identity,selector_resolution,semantic_accuracy,semantic_correct_k,semantic_wilson_hi,semantic_wilson_lo,token_perplexity,vacuous_rate
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,bare,21,0.6666666666666666,0.774174,,,,,cuda,0.863923,1.529243,,789.0,1.0,0.0625,,0.42857142857142855,1543714304,,,,,0.42857142857142855,37.5319,29.0,0.9047619047619048,7017725952,3219994112,fp16,0.086148,-0.09523809523809523,-0.42857142857142855,-0.23809523809523808,0.38095238095238093,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,bare,21,0.5714285714285714,0.781675,,,,,cuda,0.873641,1.393068,,808.0,1.0,0.0625,,0.3333333333333333,1543714304,,,,,0.38095238095238093,37.3475,30.0,0.6666666666666666,7017725952,3219994112,fp16,0.0947,-0.047619047619047616,-0.42857142857142855,-0.23809523809523808,0.38095238095238093,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,identity,scaffolded,21,0.9523809523809523,0.621762,,,,,cuda,0.744776,1.217803,,1171.0,1.0,,,0.9523809523809523,1543714304,,,,,0.8571428571428571,46.3378,25.0,1.0,7017725952,3219994112,fp16,0.121349,,,,0.7619047619047619,0.5714285714285714,12,0.7553003107462404,0.3654655436930671,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,alpha,scaffolded,21,0.6666666666666666,0.617329,,,,,cuda,0.744961,1.129639,,1175.0,1.0,0.125,,0.5714285714285714,1543714304,,,,,0.5714285714285714,38.0477,23.0,0.8095238095238095,7017725952,3219994112,fp16,0.125094,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.5714285714285714,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,beta,scaffolded,21,0.8095238095238095,0.772098,,,,,cuda,0.900865,1.640914,,1244.0,1.0,0.03125,,0.5238095238095238,1543714304,,,,,0.5238095238095238,37.6014,29.0,0.9523809523809523,7017725952,3219994112,fp16,0.128512,-0.09523809523809523,-0.47619047619047616,-0.2857142857142857,0.6666666666666666,0.2857142857142857,6,0.49956380716085597,0.1381386295212213,,0.0
B,Qwen/Qwen2.5-Coder-1.5B-Instruct,gamma,scaffolded,21,0.8571428571428571,0.780366,,,,,cuda,0.914671,1.350528,,1282.0,1.0,0.125,,0.5238095238095238,1543714304,,,,,0.5714285714285714,37.9481,29.0,0.9523809523809523,7017725952,3219994112,fp16,0.135512,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.6666666666666666,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,identity,bare,21,0.9523809523809523,0.753297,,,,,cuda,0.911591,1.646094,,716.0,1.0,,,0.9047619047619048,3085938688,,,,,0.9047619047619048,29.2881,22.0,0.9523809523809523,13187829760,6452672512,fp16,0.158612,,,,0.6190476190476191,0.5714285714285714,12,0.7553003107462404,0.3654655436930671,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,alpha,bare,21,0.47619047619047616,0.761836,,,,,cuda,0.921061,1.584125,,720.0,1.0,0.0078125,,0.3333333333333333,3085938688,,,,,0.3333333333333333,29.2786,22.0,0.6190476190476191,13187829760,6452672512,fp16,0.156499,-0.19047619047619047,-0.5714285714285714,-0.38095238095238093,0.42857142857142855,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,beta,bare,21,1.0,1.005047,,,,,cuda,1.178324,1.808753,,789.0,1.0,0.625,,0.9523809523809523,3085938688,,,,,0.9523809523809523,28.8184,28.0,1.0,13187829760,6452672512,fp16,0.170922,0.2857142857142857,-0.09523809523809523,0.09523809523809523,0.6666666666666666,0.6666666666666666,14,0.8280524739491653,0.4537345197425524,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,gamma,bare,21,0.7619047619047619,0.961037,,,,,cuda,1.141937,2.271421,,808.0,1.0,0.125,,0.6666666666666666,3085938688,,,,,0.6666666666666666,29.1352,28.0,0.8095238095238095,13187829760,6452672512,fp16,0.182575,-0.047619047619047616,-0.38095238095238093,-0.19047619047619047,0.47619047619047616,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,identity,scaffolded,21,1.0,0.737213,,,,,cuda,0.997023,1.817443,,1171.0,1.0,,,0.9523809523809523,3085938688,,,,,0.9523809523809523,29.6731,22.0,1.0,13187829760,6452672512,fp16,0.259948,,,,0.8571428571428571,0.8095238095238095,17,0.9233243494723822,0.5999943530979508,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,alpha,scaffolded,21,0.8095238095238095,0.80047,,,,,cuda,1.05835,1.76099,,1175.0,1.0,0.0078125,,0.5714285714285714,3085938688,,,,,0.6190476190476191,29.6748,23.0,0.9523809523809523,13187829760,6452672512,fp16,0.258908,-0.19047619047619047,-0.5714285714285714,-0.38095238095238093,0.7142857142857143,0.42857142857142855,9,0.6345344563069328,0.2446996892537596,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,beta,scaffolded,21,0.9523809523809523,0.998602,,,,,cuda,1.263094,2.129002,,1244.0,1.0,1.0,,0.9047619047619048,3085938688,,,,,0.9047619047619048,29.2513,28.0,0.9523809523809523,13187829760,6452672512,fp16,0.262817,0.14285714285714285,0.0,0.047619047619047616,0.9047619047619048,0.8571428571428571,18,0.9501898750027473,0.6536393971937906,,0.0
B,Qwen/Qwen2.5-Coder-3B-Instruct,gamma,scaffolded,21,0.8095238095238095,0.949567,,,,,cuda,1.233764,2.335136,,1282.0,1.0,0.21875,,0.7142857142857143,3085938688,,,,,0.7142857142857143,29.3334,29.0,0.8571428571428571,13187829760,6452672512,fp16,0.2764,0.0,-0.42857142857142855,-0.19047619047619047,0.7619047619047619,0.6190476190476191,13,0.7924898863143551,0.4087865377511576,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,identity,bare,21,0.9047619047619048,0.844496,,,,,cuda,1.174407,2.205002,,716.0,1.0,,,0.8571428571428571,7615616512,,,,,0.9047619047619048,27.6364,24.0,0.9047619047619048,31305658368,15557297152,fp16,0.331945,,,,0.7619047619047619,0.7142857142857143,15,0.8618613704787788,0.5004361928391441,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,alpha,bare,21,0.047619047619047616,0.857727,,,,,cuda,1.215998,1.866459,,720.0,1.0,6.103515625e-05,,0.047619047619047616,7615616512,,,,,0.047619047619047616,28.0039,24.0,0.09523809523809523,31305658368,15557297152,fp16,0.333891,-0.5238095238095238,-0.9047619047619048,-0.7142857142857143,0.0,0.0,0,0.154639018924847,0.0,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,beta,bare,21,0.9047619047619048,1.07736,,,,,cuda,1.476778,2.383133,,789.0,1.0,0.0009765625,,0.8095238095238095,7615616512,,,,,0.8095238095238095,27.9785,31.0,1.0,31305658368,15557297152,fp16,0.363127,-0.3333333333333333,-0.7142857142857143,-0.5238095238095238,0.38095238095238093,0.19047619047619047,4,0.40000564690204926,0.07667565052761793,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,gamma,bare,21,0.42857142857142855,1.028287,,,,,cuda,1.453323,2.485315,,808.0,1.0,0.0078125,,0.42857142857142855,7615616512,,,,,0.42857142857142855,28.4093,29.0,0.42857142857142855,31305658368,15557297152,fp16,0.398938,-0.19047619047619047,-0.5714285714285714,-0.38095238095238093,0.3333333333333333,0.3333333333333333,7,0.5462654802574476,0.17194752605083477,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,identity,scaffolded,21,0.9523809523809523,0.830116,,,,,cuda,1.442499,2.243045,,1171.0,1.0,,,0.9523809523809523,7615616512,,,,,0.9523809523809523,28.0467,23.0,0.9523809523809523,31305658368,15557297152,fp16,0.546798,,,,0.9047619047619048,0.9047619047619048,19,0.9734812325619255,0.7108586092608176,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,alpha,scaffolded,21,0.09523809523809523,0.894914,,,,,cuda,1.488023,2.16589,,1175.0,1.0,7.62939453125e-06,,0.047619047619047616,7615616512,,,,,0.047619047619047616,28.1967,25.0,0.09523809523809523,31305658368,15557297152,fp16,0.548838,-0.7142857142857143,-1.0,-0.8571428571428571,0.09523809523809523,0.047619047619047616,1,0.22669360074122563,0.008455987809826399,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,beta,scaffolded,21,0.6190476190476191,1.056483,,,,,cuda,1.601125,2.722388,,1244.0,1.0,0.021484375,,0.5238095238095238,7615616512,,,,,0.5238095238095238,28.0194,30.0,0.6666666666666666,31305658368,15557297152,fp16,0.563195,-0.14285714285714285,-0.6190476190476191,-0.38095238095238093,0.6666666666666666,0.5238095238095238,11,0.7165599389846583,0.3236953458284443,,0.0
B,Qwen/Qwen2.5-Coder-7B-Instruct,gamma,scaffolded,21,0.38095238095238093,1.095621,,,,,cuda,1.68364,9.598987,,1282.0,1.0,0.0009765625,,0.38095238095238093,7615616512,,,,,0.38095238095238093,27.9228,30.0,0.38095238095238093,31305658368,15557297152,fp16,0.595807,-0.2857142857142857,-0.7142857142857143,-0.5238095238095238,0.38095238095238093,0.38095238095238093,8,0.5912134622488425,0.20751011368564493,,0.0
